seqnames	start	end	width	strand	stat	diff	ind.fdr	is.sig	probeID	logFC	annot.seqnames	annot.start	annot.end	annot.width	annot.strand	annot.id	annot.tx_id	annot.gene_id	annot.symbol	annot.type	gene.type
chr1	1821981	1821981	1	*	7.0464960506018	0.0325048132460532	2.37075352989623e-10	TRUE	cg03716942	0.0635658448347484	chr1	1817876	1825396	7521	-	intron:70040	ENST00000610897.4	2782	GNB1	hg38_genes_introns	Introns
chr1	1850414	1850414	1	*	7.61888926953293	0.0444792067770504	9.47221183071365e-12	TRUE	cg10943191	0.212078270166318	chr1	1825500	1890819	65320	-	intron:70041	ENST00000610897.4	2782	GNB1	hg38_genes_introns	Introns
chr1	6454326	6454326	1	*	7.39680475823456	0.0992693492491335	3.04970845316362e-11	TRUE	cg25165880	0.483263096040185	chr1	6452097	6457183	5087	+	intron:2978	ENST00000645284.1	83715	ESPN	hg38_genes_introns	Introns
chr1	6454326	6454326	1	*	7.39680475823456	0.0992693492491335	3.04970845316362e-11	TRUE	cg25165880	0.483263096040185	chr1	6454234	6454633	400	+	intronexonboundary:2908	ENST00000636330.1	83715	ESPN	hg38_genes_intronexonboundaries	Intronic boundary
chr1	6614341	6614341	1	*	11.0826436500191	0.0696649980747015	7.36711151513108e-21	TRUE	cg07274506	0.0243806115444273	chr1	6614106	6616756	2651	+	intron:3086	ENST00000377648.5	148479	PHF13	hg38_genes_introns	Introns
chr1	6614341	6614341	1	*	11.0826436500191	0.0696649980747015	7.36711151513108e-21	TRUE	cg07274506	0.0243806115444273	chr1	6614251	6614650	400	-	exonintronboundary:83794	ENST00000467612.5	9903	KLHL21	hg38_genes_exonintronboundaries	Exonic boundary
chr1	6672620	6672620	1	*	8.19886429533471	0.08677897574124	3.00624455290451e-13	TRUE	cg06778853	0.254652417303713	chr1	6667811	6678393	10583	-	intron:72379	ENST00000451196.5	55735	DNAJC11	hg38_genes_introns	Introns
chr1	7913081	7913081	1	*	6.73574508705966	0.0652629513343802	1.11438245577874e-09	TRUE	cg10500283	0.0518610006439677	chr1	7858513	7915870	57358	*	intergenic:73				hg38_genes_intergenic	Intergenic
chr1	9295432	9295432	1	*	12.0577749404626	0.048348093954563	1.017388137818e-23	TRUE	cg25284492	0.0230758279073773	chr1	9293072	9355742	62671	+	intron:3706	ENST00000328089.11	80176	SPSB1	hg38_genes_introns	Introns
chr1	10001911	10001911	1	*	8.78672986886967	0.0320620954692558	9.94587874747135e-15	TRUE	cg15226751	0.0334108688884184	chr1	9997332	10004092	6761	+	intron:4043	ENST00000315901.4	116362	RBP7	hg38_genes_introns	Introns
chr1	11160205	11160205	1	*	7.35274135701208	0.0541095494801695	3.89898846187466e-11	TRUE	cg03617456	0.0548771665878661	chr1	11157292	11167441	10150	-	intron:73482	ENST00000703140.1	2475	MTOR	hg38_genes_introns	Introns
chr1	11249046	11249046	1	*	11.0318949029282	0.0417126225490197	8.2924863075792e-21	TRUE	cg04508649	0.06378808648544	chr1	11248095	11253838	5744	-	intron:73503	ENST00000703140.1	2475	MTOR	hg38_genes_introns	Introns
chr1	11249539	11249539	1	*	8.42896546354968	0.0283333333333337	8.67580495190675e-14	TRUE	cg21223353	0.581691117670004	chr1	11248095	11253838	5744	-	intron:73503	ENST00000703140.1	2475	MTOR	hg38_genes_introns	Introns
chr1	11713540	11713540	1	*	8.10433565454351	0.0646719468574348	5.79443528755067e-13	TRUE	cg06848073	0.498325461001759	chr1	11712430	11715118	2689	+	intron:5025	ENST00000294485.6	374946	DRAXIN	hg38_genes_introns	Introns
chr1	11907324	11907324	1	*	7.37998905074601	0.0450135487232935	3.65951061597252e-11	TRUE	cg06584407	0.0669736901799493	chr1	11906940	11907939	1000	+	promoter:942	ENST00000661075.1			hg38_genes_promoters	Promoters
chr1	11919699	11919699	1	*	-12.0153557465051	-0.112645360030805	1.33894926597944e-23	TRUE	cg22927043	0.376395181945473	chr1	11919591	11920332	742	-	exon:86666	ENST00000376572.8	90231	KIAA2013	hg38_genes_exons	Exons
chr1	11919699	11919699	1	*	-12.0153557465051	-0.112645360030805	1.33894926597944e-23	TRUE	cg22927043	0.376395181945473	chr1	11919591	11920314	724	-	3UTR:11411	ENST00000376572.8	90231	KIAA2013	hg38_genes_3UTRs	3UTR
chr1	12078821	12078821	1	*	7.96648586933552	0.0270448150078166	1.33515007819877e-12	TRUE	cg15770654	0.0696979316526522	chr1	12077985	12078984	1000	-	promoter:12613	ENST00000364265.1			hg38_genes_promoters	Promoters
chr1	12078821	12078821	1	*	7.96648586933552	0.0270448150078166	1.33515007819877e-12	TRUE	cg15770654	0.0696979316526522	chr1	12063662	12084463	20802	+	intron:5789	ENST00000263932.7	943	TNFRSF8	hg38_genes_introns	Introns
chr1	14029875	14029875	1	*	10.5607558033592	0.147160194174757	1.59643742765247e-19	TRUE	cg25402049	0.0464209763162024	chr1	13893757	14180434	286678	+	intron:6381	ENST00000636564.1	23254	KAZN	hg38_genes_introns	Introns
chr1	14030611	14030611	1	*	8.66083697805015	0.0466362688900469	2.24212883016713e-14	TRUE	cg12379145	0.121904012221001	chr1	13893757	14180434	286678	+	intron:6381	ENST00000636564.1	23254	KAZN	hg38_genes_introns	Introns
chr1	14032204	14032204	1	*	10.5260659629815	0.149123501823867	2.35534843466098e-19	TRUE	cg19324313	0.204097828558905	chr1	13893757	14180434	286678	+	intron:6381	ENST00000636564.1	23254	KAZN	hg38_genes_introns	Introns
chr1	15736999	15736999	1	*	6.53045125136594	0.0730227185213708	3.56074926419766e-09	TRUE	cg25741794	-0.257114750754148	chr1	15736783	15737782	1000	+	promoter:1172	ENST00000489568.1	284723	SLC25A34	hg38_genes_promoters	Promoters
chr1	15736999	15736999	1	*	6.53045125136594	0.0730227185213708	3.56074926419766e-09	TRUE	cg25741794	-0.257114750754148	chr1	15736864	15737928	1065	+	intron:6958	ENST00000294454.6	284723	SLC25A34	hg38_genes_introns	Introns
chr1	15736999	15736999	1	*	6.53045125136594	0.0730227185213708	3.56074926419766e-09	TRUE	cg25741794	-0.257114750754148	chr1	15736697	15737096	400	-	intronexonboundary:73938	ENST00000453804.1			hg38_genes_intronexonboundaries	Intronic boundary
chr1	15736999	15736999	1	*	6.53045125136594	0.0730227185213708	3.56074926419766e-09	TRUE	cg25741794	-0.257114750754148	chr1	15736663	15737062	400	+	exonintronboundary:8118	ENST00000294454.6	284723	SLC25A34	hg38_genes_exonintronboundaries	Exonic boundary
